ch,x,y,z,int
2,414,577,1,9614
2,556,415,1,9738
2,1794,831,1,8331
2,930,1068,1,9098
2,586,532,1,9667
2,602,318,1,8912
2,2009,1602,1,7549
2,1699,1326,1,8888
2,834,43,1,7245
2,131,1352,1,7917
2,2039,1816,1,8094
2,514,1415,1,9215
2,2016,1971,1,7424
2,752,470,1,9549
2,648,375,1,9029
2,1070,691,1,8460
2,1973,1881,1,8265
2,1101,399,1,9791
2,2025,1833,1,7741
2,1653,1768,1,8250
2,2037,519,1,8233
2,1768,20,1,8093
2,1960,439,1,9027
2,700,133,1,6963
2,886,185,1,7656
2,878,1028,1,7570
2,1240,255,1,7402
2,222,1207,1,7670
2,675,288,1,7754
2,1973,1801,1,7427
2,1471,1513,1,7305
2,756,828,1,8685
2,109,786,1,7061
2,1654,103,1,6562
2,841,1012,1,6319
2,1730,421,1,6191
2,404,1391,1,7196
2,1863,1713,1,6723
2,534,1782,1,6653
2,1848,1755,1,6449
2,389,1166,1,6897
2,1675,1029,1,6248
2,1116,522,1,5762
2,1521,1742,1,6280
2,165,1612,1,6342
2,621,698,1,5436
2,839,1027,1,5610
2,509,1771,1,6384
2,119,1162,1,6493
2,487,1675,1,6810
2,1199,1461,1,6783
2,392,1517,1,6606
2,89,323,1,6173
2,1881,810,1,5447
2,1879,1807,1,5503
2,1686,821,1,5565
2,663,599,1,5425
2,413,1964,1,5603
2,553,1779,1,5629
2,1996,1888,1,5853
2,1849,859,1,4876
2,1697,1502,1,5812
2,810,2011,1,5404
2,406,1776,1,5012
2,663,1034,1,4855
2,1576,1597,1,4968
2,597,1725,1,4919
2,169,160,1,4602
2,451,1971,1,4966
2,624,1981,1,4602
2,297,1524,1,5131
2,497,1695,1,5053
2,779,1009,1,4450
2,1021,713,1,4343
2,9,1350,1,4549
2,101,1564,1,4711
2,114,400,1,3972
2,1716,1003,1,4240
2,339,1831,1,4426
2,509,1930,1,4608
2,845,1675,1,3792
2,1134,1972,1,4030
2,498,560,1,4608
2,81,293,1,3998
2,1958,1560,1,3904
2,456,55,1,3935
2,446,414,1,4057
2,477,1919,1,4120
2,61,1707,1,4019
2,2005,381,1,4235
2,1376,869,1,3798
2,1899,881,1,3837
2,1293,1181,1,3720
2,225,1160,1,4256
2,1698,1575,1,3845
2,55,1684,1,3687
2,378,783,1,3991
2,523,1640,1,4071
2,168,41,1,3451
2,965,3,1,3829
2,1661,921,1,4447
2,1289,1431,1,3555
2,59,1441,1,3572
3,1176,1336,0,65535
3,1564,1715,0,65535
3,1868,1185,0,65535
3,877,928,0,65535
3,1429,1519,0,65535
3,948,777,0,65535
3,1419,1254,0,65535
3,987,992,0,65535
3,216,479,0,65535
3,612,1265,0,65535
3,1092,1414,0,65535
3,1116,1302,0,65535
3,1657,1573,0,65535
3,1067,1606,0,65535
3,916,980,0,60649
3,1168,1527,0,65535
3,1834,569,0,65535
3,1623,917,0,65535
3,1187,1346,0,65535
3,1882,1723,0,65535
3,1609,1046,0,65535
3,968,1346,0,58993
3,1013,535,0,65535
3,1744,1191,0,65535
3,1688,1409,0,65535
3,2015,1353,0,60361
3,1913,1739,0,60131
3,1637,1887,0,60544
3,1505,1488,0,52823
3,1560,102,0,50676
3,1401,941,0,59039
3,638,459,0,59007
3,565,566,0,57278
3,623,612,0,42842
3,1763,711,0,57770
3,1919,465,0,55566
3,2040,1816,0,46770
3,1116,246,0,52844
3,1813,430,0,54431
3,1817,1612,0,58766
3,329,1239,0,50470
3,1872,541,0,53322
3,1017,1616,0,55009
3,998,281,0,58252
3,1796,472,0,52333
3,1228,1508,0,52432
3,2014,522,0,49554
3,1651,619,0,48274
3,2013,1673,0,45573
3,1973,1801,0,43193
3,1216,2040,0,45785
3,335,1852,0,35566
3,1441,35,0,48361
3,708,1603,0,49666
3,567,1594,0,45829
3,1934,1691,0,45900
3,723,768,0,39508
3,630,975,0,50554
3,1794,831,0,36397
3,388,1166,0,34340
3,1021,1647,0,47186
3,667,323,0,45545
3,1635,1311,0,46008
3,534,970,0,47475
3,584,787,0,47471
3,1608,1638,0,43801
3,395,1100,0,43818
3,719,624,0,47176
3,749,546,0,47890
3,878,1028,0,38959
3,541,915,0,44944
3,1745,757,0,44439
3,1653,1769,0,36811
3,930,1068,0,40983
3,877,856,0,46637
3,1228,1328,0,44529
3,1199,1462,0,41014
3,510,1587,0,38947
3,515,423,0,38846
3,601,318,0,37051
3,1960,439,0,39502
3,1107,1541,0,35566
3,1963,1773,0,35949
3,1754,860,0,37374
3,439,1059,0,38308
3,1994,1895,0,34368
3,466,550,0,37884
3,484,976,0,31526
3,378,1221,0,32929
3,1697,1502,0,33733
3,414,576,0,34533
3,827,100,0,36576
3,756,828,0,39524
3,558,477,0,34533
3,1918,1056,0,38468
