gene,Hyb1,Hyb2,Hyb3,Hyb4
fake1738,8,10,15,1
fake1739,8,10,16,2
fake1740,8,11,1,4
fake1741,8,11,2,5
fake1742,8,11,3,6
fake1743,8,11,4,7
fake1744,8,11,5,8
fake1745,8,11,8,11
fake1746,8,11,9,12
fake1747,8,11,10,13
fake1748,8,11,11,14
fake1749,8,11,12,15
fake1750,8,11,13,16
fake1751,8,11,14,1
fake1752,8,11,15,2
fake1753,8,11,16,3
fake1754,8,12,1,5
fake1755,8,12,2,6
fake1756,8,12,3,7
fake1757,8,12,4,8
fake1758,8,12,5,9
fake1759,8,12,6,10
fake1760,8,12,7,11
fake1761,8,12,8,12
fake1762,8,12,9,13
fake1763,8,12,10,14
fake1764,8,12,11,15
fake1765,8,12,13,1
fake1766,8,12,14,2
fake1767,8,12,16,4
fake1768,8,13,1,6
fake1769,8,13,2,7
fake1770,8,13,3,8
fake1771,8,13,4,9
fake1772,8,13,6,11
fake1773,8,13,7,12
fake1774,8,13,8,13
fake1775,8,13,9,14
fake1776,8,13,10,15
fake1777,8,13,11,16
fake1778,8,13,12,1
fake1779,8,13,13,2
fake1780,8,13,14,3
fake1781,8,13,16,5
fake1782,8,14,1,7
fake1783,8,14,2,8
fake1784,8,14,3,9
fake1785,8,14,4,10
fake1786,8,14,5,11
fake1787,8,14,6,12
fake1788,8,14,7,13
fake1789,8,14,8,14
fake1790,8,14,9,15
fake1791,8,14,10,16
fake1792,8,14,11,1
fake1793,8,14,12,2
fake1794,8,14,13,3
fake1795,8,14,14,4
fake1796,8,14,15,5
fake1797,8,15,2,9
fake1798,8,15,3,10
fake1799,8,15,4,11
fake1800,8,15,5,12
fake1801,8,15,7,14
fake1802,8,15,8,15
fake1803,8,15,9,16
fake1804,8,15,10,1
fake1805,8,15,12,3
fake1806,8,15,13,4
fake1807,8,15,14,5
fake1808,8,15,15,6
fake1809,8,15,16,7
fake1810,8,16,1,9
fake1811,8,16,2,10
fake1812,8,16,3,11
fake1813,8,16,4,12
fake1814,8,16,5,13
fake1815,8,16,6,14
fake1816,8,16,7,15
fake1817,8,16,8,16
fake1818,8,16,9,1
fake1819,8,16,10,2
fake1820,8,16,11,3
fake1821,8,16,12,4
fake1822,8,16,13,5
fake1823,8,16,14,6
fake1824,8,16,15,7
fake1825,8,16,16,8
fake1826,9,1,1,11
fake1827,9,1,2,12
fake1828,9,1,3,13
fake1829,9,1,4,14
fake1830,9,1,5,15
fake1831,9,1,6,16
fake1832,9,1,8,2
fake1833,9,1,9,3
fake1834,9,1,12,6
fake1835,9,1,14,8
fake1836,9,1,15,9
fake1837,9,1,16,10
fake1838,9,2,2,13
fake1839,9,2,3,14
fake1840,9,2,5,16
fake1841,9,2,6,1
fake1842,9,2,7,2
fake1843,9,2,8,3
fake1844,9,2,9,4
fake1845,9,2,10,5
fake1846,9,2,11,6
fake1847,9,2,12,7
fake1848,9,2,13,8
fake1849,9,2,14,9
fake1850,9,2,15,10
fake1851,9,2,16,11
fake1852,9,3,1,13
fake1853,9,3,2,14
fake1854,9,3,3,15
fake1855,9,3,4,16
fake1856,9,3,5,1
fake1857,9,3,6,2
fake1858,9,3,7,3
fake1859,9,3,8,4
fake1860,9,3,9,5
fake1861,9,3,10,6
fake1862,9,3,11,7
fake1863,9,3,12,8
fake1864,9,3,13,9
fake1865,9,3,14,10
fake1866,9,3,16,12
fake1867,9,4,1,14
fake1868,9,4,2,15
fake1869,9,4,3,16
fake1870,9,4,4,1
fake1871,9,4,5,2
fake1872,9,4,6,3
fake1873,9,4,7,4
fake1874,9,4,8,5
fake1875,9,4,9,6
fake1876,9,4,11,8
fake1877,9,4,12,9
fake1878,9,4,13,10
fake1879,9,4,14,11
fake1880,9,4,15,12
fake1881,9,4,16,13
fake1882,9,5,1,15
fake1883,9,5,2,16
fake1884,9,5,3,1
fake1885,9,5,4,2
fake1886,9,5,5,3
fake1887,9,5,6,4
fake1888,9,5,8,6
fake1889,9,5,9,7
fake1890,9,5,10,8
fake1891,9,5,11,9
fake1892,9,5,13,11
fake1893,9,5,14,12
fake1894,9,5,15,13
fake1895,9,5,16,14
fake1896,9,6,1,16
fake1897,9,6,2,1
fake1898,9,6,4,3
fake1899,9,6,5,4
fake1900,9,6,6,5
fake1901,9,6,7,6
fake1902,9,6,8,7
fake1903,9,6,9,8
fake1904,9,6,10,9
fake1905,9,6,11,10
fake1906,9,6,12,11
fake1907,9,6,13,12
fake1908,9,6,15,14
fake1909,9,6,16,15
fake1910,9,7,1,1
fake1911,9,7,3,3
fake1912,9,7,4,4
fake1913,9,7,6,6
fake1914,9,7,7,7
fake1915,9,7,8,8
fake1916,9,7,9,9
fake1917,9,7,10,10
fake1918,9,7,11,11
fake1919,9,7,12,12
fake1920,9,7,13,13
fake1921,9,7,14,14
fake1922,9,7,15,15
fake1923,9,7,16,16
fake1924,9,8,1,2
fake1925,9,8,2,3
fake1926,9,8,3,4
fake1927,9,8,4,5
fake1928,9,8,6,7
fake1929,9,8,7,8
fake1930,9,8,8,9
fake1931,9,8,9,10
fake1932,9,8,10,11
fake1933,9,8,11,12
fake1934,9,8,13,14
fake1935,9,8,14,15
fake1936,9,8,15,16
fake1937,9,8,16,1
fake1938,9,9,3,5
fake1939,9,9,5,7
fake1940,9,9,6,8
fake1941,9,9,7,9
fake1942,9,9,9,11
fake1943,9,9,10,12
fake1944,9,9,11,13
fake1945,9,9,12,14
fake1946,9,9,13,15
fake1947,9,9,14,16
fake1948,9,9,16,2
fake1949,9,10,1,4
fake1950,9,10,2,5
fake1951,9,10,3,6
fake1952,9,10,4,7
fake1953,9,10,5,8
fake1954,9,10,7,10
fake1955,9,10,8,11
fake1956,9,10,9,12
fake1957,9,10,10,13
fake1958,9,10,12,15
fake1959,9,10,13,16
fake1960,9,10,14,1
fake1961,9,10,15,2
fake1962,9,10,16,3
fake1963,9,11,1,5
fake1964,9,11,3,7
fake1965,9,11,5,9
fake1966,9,11,6,10
fake1967,9,11,7,11
fake1968,9,11,8,12
fake1969,9,11,9,13
fake1970,9,11,10,14
fake1971,9,11,11,15
fake1972,9,11,12,16
fake1973,9,11,13,1
fake1974,9,11,14,2
fake1975,9,11,15,3
fake1976,9,11,16,4
fake1977,9,12,1,6
fake1978,9,12,3,8
fake1979,9,12,4,9
fake1980,9,12,5,10
fake1981,9,12,6,11
fake1982,9,12,7,12
fake1983,9,12,8,13
fake1984,9,12,9,14
fake1985,9,12,10,15
fake1986,9,12,11,16
fake1987,9,12,12,1
fake1988,9,12,13,2
fake1989,9,12,14,3
fake1990,9,12,15,4
fake1991,9,12,16,5
fake1992,9,13,1,7
fake1993,9,13,2,8
fake1994,9,13,3,9
fake1995,9,13,4,10
fake1996,9,13,5,11
fake1997,9,13,6,12
fake1998,9,13,7,13
fake1999,9,13,8,14
fake2000,9,13,9,15
fake2001,9,13,10,16
fake2002,9,13,12,2
fake2003,9,13,13,3
fake2004,9,13,14,4
fake2005,9,13,15,5
fake2006,9,13,16,6
fake2007,9,14,1,8
fake2008,9,14,3,10
fake2009,9,14,4,11
fake2010,9,14,5,12
fake2011,9,14,6,13
fake2012,9,14,7,14
fake2013,9,14,11,2
fake2014,9,14,12,3
fake2015,9,14,13,4
fake2016,9,14,14,5
fake2017,9,14,15,6
fake2018,9,14,16,7
fake2019,9,15,2,10
fake2020,9,15,3,11
fake2021,9,15,4,12
fake2022,9,15,5,13
fake2023,9,15,6,14
fake2024,9,15,7,15
fake2025,9,15,8,16
fake2026,9,15,9,1
fake2027,9,15,10,2
fake2028,9,15,11,3
fake2029,9,15,12,4
fake2030,9,15,13,5
fake2031,9,15,15,7
fake2032,9,15,16,8
fake2033,9,16,1,10
fake2034,9,16,3,12
fake2035,9,16,4,13
fake2036,9,16,6,15
fake2037,9,16,7,16
fake2038,9,16,8,1
fake2039,9,16,9,2
fake2040,9,16,10,3
fake2041,9,16,12,5
fake2042,9,16,13,6
fake2043,9,16,14,7
fake2044,9,16,15,8
fake2045,9,16,16,9
fake2046,10,1,1,12
fake2047,10,1,2,13
fake2048,10,1,3,14
fake2049,10,1,4,15
fake2050,10,1,6,1
fake2051,10,1,8,3
fake2052,10,1,9,4
fake2053,10,1,10,5
fake2054,10,1,11,6
fake2055,10,1,12,7
fake2056,10,1,13,8
fake2057,10,1,14,9
fake2058,10,1,15,10
fake2059,10,1,16,11
fake2060,10,2,1,13
fake2061,10,2,2,14
fake2062,10,2,3,15
fake2063,10,2,5,1
fake2064,10,2,7,3
fake2065,10,2,8,4
fake2066,10,2,9,5
fake2067,10,2,10,6
fake2068,10,2,12,8
fake2069,10,2,13,9
fake2070,10,2,14,10
fake2071,10,2,15,11
fake2072,10,2,16,12
fake2073,10,3,1,14
fake2074,10,3,3,16
fake2075,10,3,4,1
fake2076,10,3,5,2
fake2077,10,3,7,4
fake2078,10,3,8,5
fake2079,10,3,9,6
fake2080,10,3,10,7
fake2081,10,3,11,8
fake2082,10,3,12,9
fake2083,10,3,13,10
fake2084,10,3,14,11
fake2085,10,3,15,12
fake2086,10,3,16,13
fake2087,10,4,1,15
fake2088,10,4,3,1
fake2089,10,4,4,2
fake2090,10,4,5,3
fake2091,10,4,7,5
fake2092,10,4,8,6
fake2093,10,4,9,7
fake2094,10,4,10,8
fake2095,10,4,11,9
fake2096,10,4,12,10
fake2097,10,4,13,11
fake2098,10,4,14,12
fake2099,10,4,15,13
fake2100,10,4,16,14
fake2101,10,5,1,16
fake2102,10,5,2,1
fake2103,10,5,4,3
fake2104,10,5,5,4
fake2105,10,5,6,5
fake2106,10,5,7,6
fake2107,10,5,9,8
fake2108,10,5,10,9
fake2109,10,5,11,10
fake2110,10,5,12,11
fake2111,10,5,13,12
fake2112,10,5,14,13
fake2113,10,5,15,14
fake2114,10,5,16,15
fake2115,10,6,1,1
fake2116,10,6,2,2
fake2117,10,6,3,3
fake2118,10,6,4,4
fake2119,10,6,5,5
fake2120,10,6,6,6
fake2121,10,6,9,9
fake2122,10,6,10,10
fake2123,10,6,11,11
fake2124,10,6,12,12
fake2125,10,6,13,13
fake2126,10,6,14,14
fake2127,10,6,15,15
fake2128,10,6,16,16
fake2129,10,7,1,2
fake2130,10,7,2,3
fake2131,10,7,3,4
fake2132,10,7,4,5
fake2133,10,7,5,6
fake2134,10,7,6,7
fake2135,10,7,7,8
fake2136,10,7,8,9
fake2137,10,7,9,10
fake2138,10,7,10,11
fake2139,10,7,11,12
fake2140,10,7,12,13
fake2141,10,7,13,14
fake2142,10,7,14,15
fake2143,10,7,15,16
fake2144,10,7,16,1
fake2145,10,8,1,3
fake2146,10,8,2,4
fake2147,10,8,3,5
fake2148,10,8,5,7
fake2149,10,8,6,8
fake2150,10,8,7,9
fake2151,10,8,8,10
fake2152,10,8,9,11
fake2153,10,8,10,12
fake2154,10,8,11,13
fake2155,10,8,12,14
fake2156,10,8,13,15
fake2157,10,8,14,16
fake2158,10,8,15,1
fake2159,10,8,16,2
fake2160,10,9,1,4
fake2161,10,9,2,5
fake2162,10,9,3,6
fake2163,10,9,4,7
fake2164,10,9,6,9
fake2165,10,9,7,10
fake2166,10,9,8,11
fake2167,10,9,10,13
fake2168,10,9,11,14
fake2169,10,9,12,15
fake2170,10,9,13,16
fake2171,10,9,14,1
fake2172,10,9,15,2
fake2173,10,9,16,3
fake2174,10,10,1,5
fake2175,10,10,2,6
fake2176,10,10,3,7
fake2177,10,10,4,8
fake2178,10,10,5,9
fake2179,10,10,7,11
fake2180,10,10,8,12
fake2181,10,10,9,13
fake2182,10,10,10,14
fake2183,10,10,11,15
fake2184,10,10,12,16
fake2185,10,10,13,1
fake2186,10,10,14,2
fake2187,10,11,1,6
fake2188,10,11,2,7
fake2189,10,11,3,8
fake2190,10,11,4,9
fake2191,10,11,6,11
fake2192,10,11,7,12
fake2193,10,11,9,14
fake2194,10,11,10,15
fake2195,10,11,11,16
fake2196,10,11,12,1
fake2197,10,11,13,2
fake2198,10,11,15,4
fake2199,10,11,16,5
fake2200,10,12,1,7
fake2201,10,12,2,8
fake2202,10,12,3,9
fake2203,10,12,4,10
fake2204,10,12,5,11
fake2205,10,12,6,12
fake2206,10,12,7,13
fake2207,10,12,8,14
fake2208,10,12,9,15
fake2209,10,12,10,16
fake2210,10,12,11,1
fake2211,10,12,12,2
fake2212,10,12,13,3
fake2213,10,12,14,4
fake2214,10,12,15,5
fake2215,10,12,16,6
fake2216,10,13,1,8
fake2217,10,13,2,9
fake2218,10,13,4,11
fake2219,10,13,6,13
fake2220,10,13,7,14
fake2221,10,13,8,15
fake2222,10,13,9,16
fake2223,10,13,10,1
fake2224,10,13,11,2
fake2225,10,13,13,4
fake2226,10,13,15,6
fake2227,10,13,16,7
fake2228,10,14,1,9
fake2229,10,14,2,10
fake2230,10,14,3,11
fake2231,10,14,4,12
fake2232,10,14,5,13
fake2233,10,14,6,14
fake2234,10,14,7,15
fake2235,10,14,8,16
fake2236,10,14,9,1
fake2237,10,14,10,2
fake2238,10,14,11,3
fake2239,10,14,12,4
fake2240,10,14,13,5
fake2241,10,14,14,6
fake2242,10,14,15,7
fake2243,10,15,2,11
fake2244,10,15,3,12
fake2245,10,15,4,13
fake2246,10,15,5,14
fake2247,10,15,6,15
fake2248,10,15,7,16
fake2249,10,15,9,2
fake2250,10,15,10,3
fake2251,10,15,11,4
fake2252,10,15,12,5
fake2253,10,15,13,6
fake2254,10,15,14,7
fake2255,10,15,15,8
fake2256,10,15,16,9
fake2257,10,16,1,11
fake2258,10,16,2,12
fake2259,10,16,3,13
fake2260,10,16,4,14
fake2261,10,16,5,15
fake2262,10,16,7,1
fake2263,10,16,8,2
fake2264,10,16,9,3
fake2265,10,16,10,4
fake2266,10,16,12,6
fake2267,10,16,14,8
fake2268,10,16,15,9
fake2269,10,16,16,10
fake2270,11,1,1,13
fake2271,11,1,2,14
fake2272,11,1,3,15
fake2273,11,1,4,16
fake2274,11,1,5,1
fake2275,11,1,6,2
fake2276,11,1,8,4
fake2277,11,1,9,5
fake2278,11,1,10,6
fake2279,11,1,11,7
fake2280,11,1,12,8
fake2281,11,1,14,10
fake2282,11,1,15,11
fake2283,11,1,16,12
fake2284,11,2,1,14
fake2285,11,2,2,15
fake2286,11,2,3,16
fake2287,11,2,4,1
fake2288,11,2,5,2
fake2289,11,2,6,3
fake2290,11,2,7,4
fake2291,11,2,8,5
fake2292,11,2,9,6
fake2293,11,2,10,7
fake2294,11,2,11,8
fake2295,11,2,12,9
fake2296,11,2,13,10
fake2297,11,2,14,11
fake2298,11,2,15,12
fake2299,11,2,16,13
fake2300,11,3,1,15
fake2301,11,3,3,1
fake2302,11,3,5,3
fake2303,11,3,6,4
fake2304,11,3,8,6
fake2305,11,3,9,7
fake2306,11,3,11,9
fake2307,11,3,12,10
fake2308,11,3,13,11
fake2309,11,3,14,12
fake2310,11,3,15,13
fake2311,11,3,16,14
fake2312,11,4,1,16
fake2313,11,4,2,1
fake2314,11,4,3,2
fake2315,11,4,4,3
fake2316,11,4,5,4
fake2317,11,4,6,5
fake2318,11,4,7,6
fake2319,11,4,8,7
fake2320,11,4,9,8
fake2321,11,4,10,9
fake2322,11,4,11,10
fake2323,11,4,12,11
fake2324,11,4,13,12
fake2325,11,4,14,13
fake2326,11,4,16,15
fake2327,11,5,1,1
fake2328,11,5,2,2
fake2329,11,5,3,3
fake2330,11,5,4,4
fake2331,11,5,5,5
fake2332,11,5,6,6
fake2333,11,5,7,7
fake2334,11,5,8,8
fake2335,11,5,9,9
fake2336,11,5,10,10
fake2337,11,5,12,12
fake2338,11,5,13,13
fake2339,11,5,14,14
fake2340,11,5,15,15
fake2341,11,5,16,16
fake2342,11,6,1,2
fake2343,11,6,2,3
fake2344,11,6,3,4
fake2345,11,6,4,5
fake2346,11,6,5,6
fake2347,11,6,6,7
fake2348,11,6,7,8
fake2349,11,6,8,9
fake2350,11,6,9,10
fake2351,11,6,10,11
fake2352,11,6,11,12
fake2353,11,6,12,13
fake2354,11,6,13,14
fake2355,11,6,14,15
fake2356,11,6,16,1
fake2357,11,7,1,3
fake2358,11,7,2,4
fake2359,11,7,3,5
fake2360,11,7,5,7
fake2361,11,7,6,8
fake2362,11,7,8,10
fake2363,11,7,9,11
fake2364,11,7,10,12
fake2365,11,7,11,13
fake2366,11,7,12,14
fake2367,11,7,13,15
fake2368,11,7,14,16
fake2369,11,7,16,2
fake2370,11,8,1,4
fake2371,11,8,2,5
fake2372,11,8,3,6
fake2373,11,8,4,7
fake2374,11,8,5,8
fake2375,11,8,6,9
fake2376,11,8,7,10
fake2377,11,8,8,11
fake2378,11,8,9,12
fake2379,11,8,10,13
fake2380,11,8,11,14
fake2381,11,8,12,15
fake2382,11,8,14,1
fake2383,11,8,15,2
fake2384,11,9,1,5
fake2385,11,9,2,6
fake2386,11,9,3,7
fake2387,11,9,4,8
fake2388,11,9,5,9
fake2389,11,9,6,10
fake2390,11,9,7,11
fake2391,11,9,8,12
fake2392,11,9,9,13
fake2393,11,9,11,15
fake2394,11,9,12,16
fake2395,11,9,13,1
fake2396,11,9,14,2
fake2397,11,9,15,3
fake2398,11,9,16,4
fake2399,11,10,1,6
fake2400,11,10,2,7
fake2401,11,10,3,8
fake2402,11,10,4,9
fake2403,11,10,6,11
fake2404,11,10,7,12
fake2405,11,10,9,14
fake2406,11,10,10,15
fake2407,11,10,11,16
fake2408,11,10,12,1
fake2409,11,10,13,2
fake2410,11,10,14,3
fake2411,11,10,15,4
fake2412,11,10,16,5
fake2413,11,11,2,8
fake2414,11,11,3,9
fake2415,11,11,4,10
fake2416,11,11,5,11
fake2417,11,11,6,12
fake2418,11,11,7,13
fake2419,11,11,8,14
fake2420,11,11,9,15
fake2421,11,11,10,16
fake2422,11,11,11,1
fake2423,11,11,12,2
fake2424,11,11,13,3
fake2425,11,11,14,4
fake2426,11,11,15,5
fake2427,11,12,1,8
fake2428,11,12,2,9
fake2429,11,12,3,10
fake2430,11,12,5,12
fake2431,11,12,6,13
fake2432,11,12,8,15
fake2433,11,12,9,16
fake2434,11,12,10,1
fake2435,11,12,11,2
fake2436,11,12,12,3
fake2437,11,12,13,4
fake2438,11,12,14,5
fake2439,11,12,15,6
fake2440,11,12,16,7
fake2441,11,13,1,9
fake2442,11,13,2,10
fake2443,11,13,3,11
fake2444,11,13,4,12
fake2445,11,13,5,13
fake2446,11,13,7,15
fake2447,11,13,8,16
fake2448,11,13,9,1
fake2449,11,13,10,2
fake2450,11,13,11,3
fake2451,11,13,12,4
fake2452,11,13,16,8
fake2453,11,14,1,10
fake2454,11,14,2,11
fake2455,11,14,3,12
fake2456,11,14,4,13
fake2457,11,14,5,14
fake2458,11,14,6,15
fake2459,11,14,7,16
fake2460,11,14,8,1
fake2461,11,14,9,2
fake2462,11,14,10,3
fake2463,11,14,11,4
fake2464,11,14,12,5
fake2465,11,14,13,6
fake2466,11,14,14,7
fake2467,11,14,15,8
fake2468,11,14,16,9
fake2469,11,15,1,11
fake2470,11,15,2,12
fake2471,11,15,3,13
fake2472,11,15,4,14
fake2473,11,15,5,15
fake2474,11,15,6,16
fake2475,11,15,7,1
fake2476,11,15,8,2
fake2477,11,15,9,3
fake2478,11,15,10,4
fake2479,11,15,11,5
fake2480,11,15,12,6
fake2481,11,15,13,7
fake2482,11,15,14,8
fake2483,11,15,15,9
fake2484,11,15,16,10
fake2485,11,16,1,12
fake2486,11,16,2,13
fake2487,11,16,3,14
fake2488,11,16,4,15
fake2489,11,16,5,16
fake2490,11,16,6,1
fake2491,11,16,7,2
fake2492,11,16,8,3
fake2493,11,16,9,4
fake2494,11,16,10,5
fake2495,11,16,11,6
fake2496,11,16,12,7
fake2497,11,16,13,8
fake2498,11,16,14,9
fake2499,11,16,15,10
fake2500,11,16,16,11
fake2501,12,1,1,14
fake2502,12,1,2,15
fake2503,12,1,3,16
fake2504,12,1,4,1
fake2505,12,1,5,2
fake2506,12,1,6,3
fake2507,12,1,7,4
fake2508,12,1,8,5
fake2509,12,1,9,6
fake2510,12,1,10,7
fake2511,12,1,11,8
fake2512,12,1,12,9
fake2513,12,1,13,10
fake2514,12,1,14,11
fake2515,12,1,16,13
fake2516,12,2,1,15
fake2517,12,2,2,16
fake2518,12,2,3,1
fake2519,12,2,4,2
fake2520,12,2,5,3
fake2521,12,2,6,4
fake2522,12,2,7,5
fake2523,12,2,8,6
fake2524,12,2,9,7
fake2525,12,2,10,8
fake2526,12,2,11,9
fake2527,12,2,12,10
fake2528,12,2,13,11
fake2529,12,2,14,12
fake2530,12,2,15,13
fake2531,12,2,16,14
fake2532,12,3,1,16
fake2533,12,3,2,1
fake2534,12,3,3,2
fake2535,12,3,4,3
fake2536,12,3,6,5
fake2537,12,3,7,6
fake2538,12,3,8,7
fake2539,12,3,9,8
fake2540,12,3,10,9
fake2541,12,3,11,10
fake2542,12,3,12,11
fake2543,12,3,13,12
fake2544,12,3,14,13
fake2545,12,3,15,14
fake2546,12,3,16,15
fake2547,12,4,1,1
fake2548,12,4,2,2
fake2549,12,4,3,3
fake2550,12,4,5,5
fake2551,12,4,6,6
fake2552,12,4,7,7
fake2553,12,4,8,8
fake2554,12,4,9,9
fake2555,12,4,11,11
fake2556,12,4,12,12
fake2557,12,4,13,13
fake2558,12,4,14,14
fake2559,12,4,15,15
fake2560,12,4,16,16
fake2561,12,5,1,2
fake2562,12,5,2,3
fake2563,12,5,3,4
fake2564,12,5,4,5
fake2565,12,5,6,7
fake2566,12,5,8,9
fake2567,12,5,9,10
fake2568,12,5,10,11
fake2569,12,5,11,12
fake2570,12,5,12,13
fake2571,12,5,13,14
fake2572,12,5,14,15
fake2573,12,5,15,16
fake2574,12,6,1,3
fake2575,12,6,3,5
fake2576,12,6,4,6
fake2577,12,6,6,8
fake2578,12,6,7,9
fake2579,12,6,8,10
fake2580,12,6,9,11
fake2581,12,6,10,12
fake2582,12,6,11,13
fake2583,12,6,12,14
fake2584,12,6,13,15
fake2585,12,6,14,16
fake2586,12,6,15,1
fake2587,12,6,16,2
fake2588,12,7,1,4
fake2589,12,7,2,5
fake2590,12,7,3,6
fake2591,12,7,4,7
fake2592,12,7,6,9
fake2593,12,7,8,11
fake2594,12,7,9,12
fake2595,12,7,10,13
fake2596,12,7,11,14
fake2597,12,7,12,15
fake2598,12,7,13,16
fake2599,12,7,14,1
fake2600,12,7,15,2
fake2601,12,7,16,3
fake2602,12,8,1,5
fake2603,12,8,2,6
fake2604,12,8,3,7
fake2605,12,8,4,8
fake2606,12,8,5,9
fake2607,12,8,6,10
fake2608,12,8,7,11
fake2609,12,8,8,12
fake2610,12,8,9,13
fake2611,12,8,10,14
fake2612,12,8,11,15
fake2613,12,8,12,16
fake2614,12,8,13,1
fake2615,12,8,14,2
fake2616,12,8,15,3
fake2617,12,8,16,4
fake2618,12,9,1,6
fake2619,12,9,2,7
fake2620,12,9,3,8
fake2621,12,9,4,9
fake2622,12,9,5,10
fake2623,12,9,6,11
fake2624,12,9,7,12
fake2625,12,9,8,13
fake2626,12,9,9,14
fake2627,12,9,11,16
fake2628,12,9,12,1
fake2629,12,9,13,2
fake2630,12,9,14,3
fake2631,12,9,15,4
fake2632,12,9,16,5
fake2633,12,10,1,7
fake2634,12,10,2,8
fake2635,12,10,3,9
fake2636,12,10,4,10
fake2637,12,10,5,11
fake2638,12,10,6,12
fake2639,12,10,7,13
fake2640,12,10,8,14
fake2641,12,10,9,15
fake2642,12,10,10,16
fake2643,12,10,11,1
fake2644,12,10,12,2
fake2645,12,10,13,3
fake2646,12,10,14,4
fake2647,12,10,15,5
fake2648,12,10,16,6
fake2649,12,11,1,8
fake2650,12,11,3,10
fake2651,12,11,4,11
fake2652,12,11,6,13
fake2653,12,11,7,14
fake2654,12,11,8,15
fake2655,12,11,9,16
fake2656,12,11,10,1
fake2657,12,11,11,2
fake2658,12,11,12,3
fake2659,12,11,13,4
fake2660,12,11,14,5
fake2661,12,11,15,6
fake2662,12,11,16,7
fake2663,12,12,1,9
fake2664,12,12,2,10
fake2665,12,12,3,11
fake2666,12,12,4,12
fake2667,12,12,5,13
fake2668,12,12,6,14
fake2669,12,12,7,15
fake2670,12,12,8,16
fake2671,12,12,9,1
fake2672,12,12,10,2
fake2673,12,12,11,3
fake2674,12,12,12,4
fake2675,12,12,13,5
fake2676,12,12,14,6
fake2677,12,12,15,7
fake2678,12,12,16,8
fake2679,12,13,2,11
fake2680,12,13,3,12
fake2681,12,13,4,13
fake2682,12,13,5,14
fake2683,12,13,6,15
fake2684,12,13,7,16
fake2685,12,13,8,1
fake2686,12,13,9,2
fake2687,12,13,10,3
fake2688,12,13,11,4
fake2689,12,13,12,5
fake2690,12,13,13,6
fake2691,12,13,14,7
fake2692,12,13,15,8
fake2693,12,13,16,9
fake2694,12,14,1,11
fake2695,12,14,2,12
fake2696,12,14,4,14
fake2697,12,14,5,15
fake2698,12,14,6,16
fake2699,12,14,7,1
fake2700,12,14,8,2
fake2701,12,14,9,3
fake2702,12,14,10,4
fake2703,12,14,11,5
fake2704,12,14,13,7
fake2705,12,14,16,10
fake2706,12,15,1,12
fake2707,12,15,2,13
fake2708,12,15,3,14
fake2709,12,15,4,15
fake2710,12,15,5,16
fake2711,12,15,6,1
fake2712,12,15,7,2
fake2713,12,15,8,3
fake2714,12,15,9,4
fake2715,12,15,10,5
fake2716,12,15,11,6
fake2717,12,15,12,7
fake2718,12,15,13,8
fake2719,12,15,14,9
fake2720,12,15,15,10
fake2721,12,16,1,13
fake2722,12,16,2,14
fake2723,12,16,3,15
fake2724,12,16,4,16
fake2725,12,16,5,1
fake2726,12,16,6,2
fake2727,12,16,7,3
fake2728,12,16,9,5
fake2729,12,16,10,6
fake2730,12,16,11,7
fake2731,12,16,12,8
fake2732,12,16,13,9
fake2733,12,16,14,10
fake2734,12,16,15,11
fake2735,12,16,16,12
fake2736,13,1,1,15
fake2737,13,1,2,16
fake2738,13,1,3,1
fake2739,13,1,4,2
fake2740,13,1,5,3
fake2741,13,1,6,4
fake2742,13,1,7,5
fake2743,13,1,8,6
fake2744,13,1,9,7
fake2745,13,1,10,8
fake2746,13,1,11,9
fake2747,13,1,12,10
fake2748,13,1,13,11
fake2749,13,1,14,12
fake2750,13,1,15,13
fake2751,13,1,16,14
fake2752,13,2,1,16
fake2753,13,2,2,1
fake2754,13,2,3,2
fake2755,13,2,4,3
fake2756,13,2,5,4
fake2757,13,2,6,5
fake2758,13,2,7,6
fake2759,13,2,8,7
fake2760,13,2,9,8
fake2761,13,2,10,9
fake2762,13,2,11,10
fake2763,13,2,13,12
fake2764,13,2,14,13
fake2765,13,2,16,15
fake2766,13,3,1,1
fake2767,13,3,2,2
fake2768,13,3,3,3
fake2769,13,3,4,4
fake2770,13,3,5,5
fake2771,13,3,6,6
fake2772,13,3,7,7
fake2773,13,3,8,8
fake2774,13,3,9,9
fake2775,13,3,10,10
fake2776,13,3,11,11
fake2777,13,3,13,13
fake2778,13,3,15,15
fake2779,13,3,16,16
fake2780,13,4,1,2
fake2781,13,4,2,3
fake2782,13,4,3,4
fake2783,13,4,4,5
fake2784,13,4,5,6
fake2785,13,4,6,7
fake2786,13,4,7,8
fake2787,13,4,8,9
fake2788,13,4,9,10
fake2789,13,4,10,11
fake2790,13,4,12,13
fake2791,13,4,13,14
fake2792,13,4,15,16
fake2793,13,4,16,1
fake2794,13,5,1,3
fake2795,13,5,2,4
fake2796,13,5,3,5
fake2797,13,5,4,6
fake2798,13,5,5,7
fake2799,13,5,6,8
fake2800,13,5,7,9
fake2801,13,5,8,10
fake2802,13,5,9,11
fake2803,13,5,10,12
fake2804,13,5,11,13
fake2805,13,5,12,14
fake2806,13,5,13,15
fake2807,13,5,14,16
fake2808,13,5,15,1
fake2809,13,6,1,4
fake2810,13,6,3,6
fake2811,13,6,4,7
