gene,Hyb1,Hyb2,Hyb3,Hyb4
fake18,1,2,4,7
fake19,1,2,6,9
fake20,1,2,7,10
fake21,1,2,8,11
fake22,1,2,9,12
fake23,1,2,10,13
fake24,1,2,11,14
fake25,1,2,12,15
fake26,1,2,13,16
fake27,1,2,14,1
fake28,1,2,15,2
fake29,1,2,16,3
fake30,1,3,2,6
fake31,1,3,3,7
fake32,1,3,4,8
fake33,1,3,6,10
fake34,1,3,7,11
fake35,1,3,8,12
fake36,1,3,10,14
fake37,1,3,11,15
fake38,1,3,12,16
fake39,1,3,13,1
fake40,1,3,14,2
fake41,1,3,15,3
fake42,1,3,16,4
fake43,1,4,1,6
fake44,1,4,2,7
fake45,1,4,3,8
fake46,1,4,4,9
fake47,1,4,6,11
fake48,1,4,7,12
fake49,1,4,8,13
fake50,1,4,9,14
fake51,1,4,10,15
fake52,1,4,13,2
fake53,1,4,14,3
fake54,1,4,15,4
fake55,1,4,16,5
fake56,1,5,1,7
fake57,1,5,2,8
fake58,1,5,3,9
fake59,1,5,4,10
fake60,1,5,5,11
fake61,1,5,6,12
fake62,1,5,7,13
fake63,1,5,9,15
fake64,1,5,10,16
fake65,1,5,11,1
fake66,1,5,12,2
fake67,1,5,13,3
fake68,1,5,14,4
fake69,1,5,15,5
fake70,1,5,16,6
fake71,1,6,3,10
fake72,1,6,4,11
fake73,1,6,5,12
fake74,1,6,7,14
fake75,1,6,8,15
fake76,1,6,9,16
fake77,1,6,10,1
fake78,1,6,11,2
fake79,1,6,12,3
fake80,1,6,14,5
fake81,1,6,15,6
fake82,1,6,16,7
fake83,1,7,1,9
fake84,1,7,2,10
fake85,1,7,3,11
fake86,1,7,4,12
fake87,1,7,5,13
fake88,1,7,6,14
fake89,1,7,7,15
fake90,1,7,8,16
fake91,1,7,10,2
fake92,1,7,12,4
fake93,1,7,13,5
fake94,1,7,15,7
fake95,1,7,16,8
fake96,1,8,1,10
fake97,1,8,2,11
fake98,1,8,4,13
fake99,1,8,6,15
fake100,1,8,8,1
fake101,1,8,9,2
fake102,1,8,11,4
fake103,1,8,12,5
fake104,1,8,13,6
fake105,1,8,14,7
fake106,1,8,15,8
fake107,1,8,16,9
fake108,1,9,1,11
fake109,1,9,2,12
fake110,1,9,3,13
fake111,1,9,4,14
fake112,1,9,6,16
fake113,1,9,7,1
fake114,1,9,8,2
fake115,1,9,9,3
fake116,1,9,10,4
fake117,1,9,11,5
fake118,1,9,12,6
fake119,1,9,13,7
fake120,1,9,14,8
fake121,1,9,15,9
fake122,1,9,16,10
fake123,1,10,2,13
