geneID,x,y,z,intensity,seeds
adcy1,188.287333333333,937.931,2.0,618.0,3
adcy1,150.620666666667,862.931,1.0,545.666666666667,3
adcy1,1727.3029999999999,380.659333333333,2.0,632.0,3
adcy1,234.303,658.326,0.0,675.666666666667,3
adcy1,1851.3029999999999,570.992666666667,0.0,564.0,3
adcy1,76.39433333333331,1024.4289999999999,0.0,635.666666666667,3
adcy1,1814.9696666666698,1276.65933333333,2.0,588.333333333333,3
adcy6,1797.256,1529.6806666666698,0.33333333333333304,578.0,3
adcy6,1847.39666666667,1352.82433333333,0.33333333333333304,645.333333333333,3
adcyap1r1,233.009666666667,946.566333333333,2.0,630.0,3
adora2b,238.918333333333,947.217,2.6666666666666696,647.0,3
agpat5,117.07025,1469.08825,3.25,758.75,4
agpat5,1968.36966666667,409.17733333333297,1.33333333333333,642.333333333333,3
agpat5,210.03599999999997,926.004666666667,4.0,641.0,3
agpat5,1758.03633333333,516.510666666667,0.0,660.333333333333,3
agpat5,2025.36966666667,655.8439999999999,5.0,613.0,3
akt1,1624.375,554.115333333333,0.0,774.333333333333,3
angpt4,218.97666666666697,947.572,2.3333333333333304,571.333333333333,3
apln,1797.858,1733.82733333333,4.0,598.666666666667,3
arnt,1858.06166666667,1733.9006666666698,0.0,648.0,3
arnt,1827.06166666667,869.900666666667,6.0,554.666666666667,3
arnt,412.061666666667,117.90066666666701,6.0,586.0,3
arnt,224.06166666666698,85.9006666666667,5.0,561.333333333333,3
asah2,109.396666666667,1652.723,1.0,628.0,3
asah2,114.396666666667,455.723,2.3333333333333304,638.666666666667,3
atg12,228.69333333333302,942.752333333333,4.33333333333333,697.333333333333,3
atg12,921.310333333333,1207.322,4.0,640.333333333333,3
atp1a2,251.447333333333,965.490333333333,0.0,773.0,3
atp1a2,79.4473333333333,1481.49033333333,0.0,691.0,3
atp1a2,1669.3770000000002,1368.0079999999998,6.0,663.0,3
atp1a2,151.0285,988.14325,0.25,735.25,4
atp1a2,248.5285,538.14325,0.0,684.25,4
atp1a2,1632.8770000000002,564.485333333333,3.6666666666666696,772.333333333333,3
atp1a2,128.543666666667,1107.4853333333301,1.0,659.333333333333,3
atp1a2,1886.0436666666699,1364.0079999999998,1.0,717.666666666667,3
atp1a2,1962.0436666666699,420.34133333333295,2.6666666666666696,666.333333333333,3
atp1a2,1686.114,1069.8236666666699,2.6666666666666696,559.666666666667,3
atp1a2,1748.8770000000002,516.485333333333,0.666666666666667,606.333333333333,3
atp1a2,108.37700000000001,661.008,3.0,772.666666666667,3
