gene,x,y,z,cost,xs,ys,cc,cc_size
ARHGEF9,1409.0069999999998,1010.70775,0.0,13.718882781676555,"[1408.86, 1408.875, 1409.405, 1408.888]","[1010.971, 1010.708, 1010.444, 1010.708]",38,1
ARHGEF9,1060.7569999999998,471.70775000000003,0.0,12.158728838507367,"[1060.86, 1060.875, 1060.405, 1060.888]","[471.971, 471.708, 471.444, 471.708]",39,1
BCL2L1,1737.67225,1929.81075,0.0,16.091468730780438,"[1737.733, 1737.464, 1737.604, 1737.888]","[1930.284, 1929.624, 1929.627, 1929.708]",40,1
HEPACAM,930.682,675.53325,0.0,7.726358843588471,"[930.733, 930.875, 930.604, 930.516]","[675.284, 675.7080000000002, 675.627, 675.5139999999999]",41,1
TMEM147,1624.541,599.60175,0.0,6.917435467383121,"[1624.76, 1624.6660000000004, 1624.375, 1624.3629999999996]","[599.758, 599.432, 599.563, 599.654]",42,1
MYT1L,819.89075,1228.86025,0.0,18.432414385995408,"[819.76, 820.409, 819.569, 819.825]","[1228.758, 1228.841, 1229.109, 1228.733]",43,1
MAPT,1580.72925,274.52725000000004,0.0,5.020400460557915,"[1580.76, 1580.6660000000004, 1580.881, 1580.61]","[274.758, 274.432, 274.372, 274.547]",44,1
FAM107A,1335.62925,483.6335,0.0,9.166616850512249,"[1335.76, 1335.464, 1335.405, 1335.888]","[483.758, 483.624, 483.444, 483.708]",45,1
FAM107A,1710.62925,313.6335,0.0,8.56097146214813,"[1710.76, 1710.464, 1710.405, 1710.888]","[313.758, 313.624, 313.444, 313.708]",46,1
APP,117.851,675.6365000000001,0.0,4.46400886039097,"[117.76, 117.875, 117.881, 117.888]","[675.758, 675.7080000000002, 675.372, 675.7080000000002]",47,1
LMO7,787.952,843.56,0.0,19.795724957205795,"[787.76, 788.1569999999998, 788.375, 787.5160000000002]","[843.758, 843.405, 843.563, 843.5139999999999]",48,1
TMEM147,1913.041,1623.6017499999998,0.0,18.93567206461439,"[1912.76, 1912.666, 1913.375, 1913.363]","[1623.7579999999996, 1623.432, 1623.563, 1623.654]",49,1
FAM107A,386.37924999999996,289.6335,0.0,17.36973280490826,"[386.76, 386.464, 386.405, 385.888]","[289.758, 289.624, 289.444, 289.708]",50,1
FAM107A,1725.62925,1220.6335,0.0,8.727700852097524,"[1725.76, 1725.464, 1725.405, 1725.888]","[1220.758, 1220.624, 1220.444, 1220.708]",51,1
SNX10,809.713,1002.26,0.0,16.725693873799585,"[809.76, 809.666, 809.6039999999998, 809.822]","[1001.758, 1002.432, 1002.627, 1002.223]",52,1
APP,1152.851,1355.8865,0.0,12.842486583011965,"[1152.76, 1152.875, 1152.881, 1152.888]","[1355.7579999999996, 1355.708, 1356.372, 1355.708]",53,1
