hyb,ch,x,y,z,int,sum_3x3_int_ch1,sum_3x3_int_ch2,ratio
12,1,816.0,1159.0,0.0,12979,12979,134,0.989781133226569
12,1,1103.0,101.0,0.0,11249,11249,127,0.9888361462728551
12,1,774.0,2001.0,0.0,12887,12887,145,0.9888735420503376
12,1,549.0,615.0,0.0,12406,12406,131,0.9895509292494217
12,1,138.0,1362.0,0.0,12259,12259,126,0.9898264029067421
12,1,858.0,1076.0,0.0,13127,13127,124,0.9906422156818353
12,1,1384.0,641.0,0.0,12553,12553,154,0.9878806956795467
12,1,639.0,1172.0,0.0,11769,11769,131,0.9889915966386554
12,1,1280.0,1562.0,0.0,13068,13068,121,0.9908256880733946
12,1,1533.0,916.0,0.0,13608,13608,142,0.9896727272727273
12,1,736.0,1099.0,0.0,12325,12325,141,0.9886892347184342
12,1,1263.0,38.0,0.0,12158,12158,123,0.9899845289471542
12,1,535.0,1048.0,0.0,12697,12697,123,0.990405616224649
12,1,1364.0,491.0,0.0,12830,12830,126,0.9902747761654832
12,1,1827.0,499.0,0.0,13471,13471,140,0.9897142017485857
12,1,1472.0,955.0,0.0,12114,12114,149,0.9878496289651798
12,1,504.0,845.0,0.0,13677,13677,167,0.9879370124241549
12,1,1482.0,941.0,0.0,13259,13259,135,0.989920860086606
12,1,96.0,1222.0,0.0,12778,12778,121,0.990619427862625
12,1,609.0,1156.0,0.0,12755,12755,146,0.9886830478257499
12,1,1684.0,1220.0,0.0,12700,12700,116,0.9909488139825219
12,1,635.0,796.0,0.0,12170,12170,131,0.9893504593122511
12,1,1888.0,316.0,0.0,12377,12377,137,0.9890522614671567
12,1,1173.0,1736.0,0.0,13062,13062,135,0.9897704023641737
12,1,960.0,1160.0,0.0,14075,14075,141,0.9900815981992122
12,1,938.0,1285.0,0.0,13793,13793,116,0.9916600762096485
12,1,1090.0,1021.0,0.0,13243,13243,156,0.9883573401000074
12,1,1620.0,1040.0,0.0,11188,11188,141,0.9875540647894784
12,1,938.0,1413.0,0.0,12957,12957,120,0.990823583390686
12,1,1847.0,699.0,0.0,11591,11591,119,0.9898377455166524
12,1,177.0,1170.0,0.0,13133,13133,135,0.9898251432016882
12,1,167.0,1750.0,0.0,12846,12846,154,0.9881538461538462
12,1,1830.0,1060.0,0.0,13977,13977,130,0.9907847168072588
12,1,854.0,1482.0,0.0,13340,13340,134,0.9900549205877988
12,1,1760.0,976.0,0.0,12157,12157,117,0.9904676552061268
12,1,1264.0,1593.0,0.0,13451,13451,133,0.9902090694935218
12,1,1549.0,1016.0,0.0,12062,12062,134,0.9890127910790423
12,1,128.0,1229.0,0.0,12944,12944,134,0.9897537849824132
12,1,1635.0,1271.0,0.0,13864,13864,153,0.9890846828850681
12,1,358.0,940.0,0.0,12785,12785,127,0.9901641883519207
12,1,166.0,1119.0,0.0,11890,11890,156,0.9870496430350324
12,1,1314.0,1673.0,0.0,13273,13273,126,0.9905963131576984
12,1,1296.0,1608.0,0.0,11169,11169,124,0.9890197467457718
12,1,1112.0,1277.0,0.0,13468,13468,116,0.9914605418138988
12,1,882.0,1345.0,0.0,13642,13642,162,0.9882642712257317
12,1,916.0,1383.0,0.0,12845,12845,132,0.9898281575094398
12,1,1251.0,1903.0,0.0,11441,11441,118,0.9897915044554028
12,1,1468.0,1147.0,0.0,11270,11270,118,0.9896382156656129
12,1,1241.0,139.0,0.0,12956,12956,146,0.9888566631048695
12,1,668.0,1965.0,0.0,12951,12951,146,0.9888524089486141
12,1,1217.0,1638.0,0.0,11830,11830,116,0.9902896366984765
12,1,1519.0,1304.0,0.0,12368,12368,137,0.9890443822471011
12,1,729.0,994.0,0.0,12737,12737,130,0.9898966348022072
12,1,1587.0,905.0,0.0,11888,11888,141,0.9882783273755091
12,1,1411.0,1035.0,0.0,11927,11927,130,0.9892178817284565
12,1,1275.0,1662.0,0.0,11026,11026,131,0.9882584924262795
12,1,865.0,1750.0,0.0,11755,11755,149,0.9874831989247311
12,1,1453.0,610.0,0.0,13578,13578,160,0.9883534721211239
12,1,198.0,1269.0,0.0,12418,12418,124,0.9901132195822038
12,1,657.0,682.0,0.0,11055,11055,115,0.9897045658012533
12,1,1824.0,1049.0,0.0,12313,12313,127,0.989790996784566
12,1,668.0,1521.0,0.0,12086,12086,143,0.9883064845858206
12,1,494.0,1483.0,0.0,11835,11835,135,0.9887218045112782
12,1,680.0,1744.0,0.0,13476,13476,150,0.9889916336415676
12,1,1314.0,1970.0,0.0,12146,12146,138,0.988765874308043
12,1,684.0,823.0,0.0,11492,11492,141,0.9878793088627181
