ch,x,y,z,int
1,883.0,1218.0,2.0,715
1,911.0,1293.0,2.0,650
1,1138.0,2002.0,5.0,673
1,1281.0,1691.0,3.0,718
1,1507.0,126.0,3.0,932
1,742.0,818.0,4.0,674
1,677.0,1610.0,12.0,650
1,1676.0,1447.0,4.0,659
1,474.0,1389.0,4.0,677
1,1575.0,964.0,3.0,660
1,796.0,915.0,3.0,685
1,1629.0,1824.0,11.0,951
1,1794.0,1433.0,5.0,675
1,1424.0,526.0,4.0,661
1,1507.0,126.0,0.0,962
1,690.0,836.0,2.0,696
1,1043.0,382.0,3.0,662
1,621.0,797.0,3.0,673
1,319.0,2029.0,6.0,650
1,747.0,1923.0,3.0,658
1,1261.0,554.0,6.0,688
1,689.0,1946.0,2.0,697
1,1267.0,1702.0,2.0,731
1,831.0,433.0,3.0,654
1,1629.0,1824.0,0.0,950
1,1233.0,1858.0,3.0,717
1,749.0,1930.0,3.0,664
1,1629.0,1824.0,7.0,937
1,1087.0,567.0,2.0,676
1,1571.0,596.0,2.0,669
1,1242.0,1719.0,11.0,704
1,996.0,1390.0,3.0,655
1,1402.0,1417.0,5.0,681
1,456.0,1054.0,4.0,651
1,1894.0,1198.0,6.0,924
1,486.0,882.0,4.0,655
1,252.0,1690.0,3.0,673
1,1064.0,1458.0,3.0,653
1,540.0,1690.0,12.0,649
1,1507.0,126.0,7.0,879
1,599.0,1619.0,4.0,660
1,1221.0,1519.0,2.0,682
1,1894.0,1198.0,10.0,861
1,1507.0,126.0,10.0,860
1,702.0,1951.0,6.0,651
1,1894.0,1198.0,2.0,873
1,854.0,1257.0,4.0,656
1,1159.0,818.0,4.0,667
1,1600.0,107.0,10.0,674
1,803.0,675.0,2.0,680
1,977.0,48.0,5.0,873
1,976.0,1645.0,5.0,998
1,887.0,1452.0,3.0,675
1,1174.0,1563.0,2.0,651
1,702.0,1573.0,4.0,676
1,1953.0,1937.0,12.0,655
1,699.0,1011.0,3.0,649
1,1848.0,1241.0,10.0,809
1,977.0,48.0,10.0,812
1,456.0,1446.0,5.0,680
1,1420.0,2007.0,12.0,757
1,1028.0,1673.0,5.0,664
1,1558.0,989.0,3.0,654
1,1420.0,2007.0,2.0,754
1,1420.0,2007.0,6.0,731
1,2046.0,119.0,6.0,725
1,399.0,637.0,0.0,737
1,399.0,637.0,12.0,689
1,122.0,235.0,0.0,675
1,153.0,1505.0,0.0,731
1,153.0,1505.0,6.0,765
1,122.0,235.0,3.0,708
1,1097.0,1466.0,4.0,674
1,2046.0,119.0,0.0,708
1,2046.0,119.0,12.0,679
1,122.0,235.0,8.0,679
1,2046.0,119.0,2.0,694
1,153.0,1505.0,10.0,720
1,399.0,637.0,7.0,708
1,1443.0,278.0,3.0,649
1,399.0,637.0,4.0,695
1,1443.0,278.0,9.0,662
1,438.0,1409.0,8.0,673
1,1635.0,433.0,12.0,650
1,1855.0,1251.0,4.0,702
2,1025.0,1551.0,4.0,1569
2,1984.0,117.0,12.0,1519
2,1371.0,1909.0,7.0,1518
2,410.0,1464.0,2.0,1528
2,747.0,1923.0,3.0,1492
2,911.0,1293.0,2.0,1501
2,1065.0,153.0,9.0,1535
2,1270.0,710.0,2.0,1505
2,861.0,1535.0,3.0,1438
2,1138.0,71.0,3.0,1524
2,666.0,1447.0,10.0,1473
2,1892.0,238.0,3.0,1473
2,810.0,1163.0,6.0,1373
2,1484.0,1079.0,2.0,1560
2,1512.0,1702.0,3.0,1458
2,834.0,2001.0,7.0,1509
2,1118.0,570.0,12.0,1353
2,1743.0,940.0,7.0,1457
2,1857.0,512.0,5.0,1322
2,408.0,1193.0,5.0,1432
2,1025.0,1629.0,5.0,1444
2,1021.0,167.0,3.0,1442
2,1841.0,489.0,6.0,1463
2,1323.0,405.0,7.0,1407
2,1652.0,498.0,3.0,1389
2,388.0,959.0,2.0,1389
2,1512.0,177.0,7.0,1433
2,742.0,594.0,3.0,1349
2,733.0,618.0,9.0,1345
2,492.0,1626.0,6.0,1498
2,556.0,1107.0,2.0,1342
2,789.0,608.0,9.0,1528
2,1981.0,1729.0,2.0,1367
2,2001.0,1832.0,5.0,1334
2,470.0,317.0,4.0,1417
2,1099.0,488.0,8.0,1427
2,110.0,32.0,4.0,1261
2,1477.0,516.0,5.0,1470
2,838.0,69.0,3.0,1485
2,1537.0,237.0,3.0,1501
2,667.0,1651.0,4.0,1405
2,1101.0,1292.0,2.0,1568
2,1012.0,1532.0,3.0,1459
2,1098.0,1976.0,3.0,1337
2,1343.0,2012.0,4.0,1406
2,20.0,1016.0,12.0,1356
2,144.0,1339.0,3.0,1466
2,1829.0,1397.0,3.0,1434
2,1136.0,790.0,3.0,1415
2,703.0,176.0,3.0,1401
2,1141.0,1686.0,4.0,1411
2,1246.0,1018.0,6.0,1409
2,1266.0,1703.0,2.0,1325
2,1529.0,202.0,4.0,1570
2,785.0,978.0,5.0,1463
2,695.0,1580.0,7.0,1271
2,445.0,336.0,3.0,1253
2,1710.0,663.0,4.0,1289
2,938.0,32.0,8.0,1396
2,962.0,982.0,2.0,1412
2,774.0,1538.0,6.0,1371
2,1040.0,1155.0,4.0,1481
2,1091.0,972.0,5.0,1362
2,1417.0,2015.0,3.0,1318
2,801.0,1511.0,5.0,1283
2,1029.0,1052.0,4.0,1414
2,1315.0,953.0,5.0,1386
2,259.0,777.0,3.0,1341
2,1201.0,1584.0,5.0,1402
