hyb,ch,x,y,z,int,sum_3x3_int_ch1
12,1,671.0,780.0,5.0,10867,3680
12,1,950.0,877.0,6.0,12051,2296
12,1,1020.0,187.0,6.0,11653,2812
12,1,956.0,705.0,6.0,12324,2229
12,1,1282.0,668.0,5.0,11117,3852
12,1,740.0,835.0,6.0,10676,3015
12,1,711.0,1765.0,6.0,10968,131608
12,1,1920.0,1244.0,6.0,12022,2306
12,1,721.0,1071.0,6.0,11028,4848
12,1,838.0,680.0,5.0,11538,3386
12,1,344.0,946.0,12.0,10910,57580
12,1,532.0,1627.0,5.0,12568,39820
12,1,711.0,1049.0,6.0,13032,29742
12,1,1294.0,600.0,5.0,12358,4457
12,1,570.0,1887.0,5.0,11298,5458
12,1,1074.0,489.0,6.0,12559,2960
12,1,555.0,1027.0,10.0,10592,57117
12,1,1621.0,1328.0,6.0,11806,2561
12,1,907.0,1914.0,5.0,12336,4019
12,1,949.0,1066.0,6.0,12111,48666
12,1,860.0,1716.0,5.0,12522,4440
12,1,506.0,918.0,6.0,12463,16352
12,1,781.0,518.0,5.0,11524,3472
12,1,1028.0,415.0,6.0,11631,4071
12,1,615.0,1537.0,5.0,11616,13614
12,1,1254.0,934.0,5.0,11928,36644
12,1,406.0,1160.0,6.0,12015,2865
12,1,988.0,638.0,5.0,12034,3202
12,1,328.0,1145.0,6.0,12997,7250
12,1,1227.0,997.0,5.0,12027,4417
12,1,1305.0,931.0,5.0,12157,4841
12,1,762.0,136.0,6.0,12399,2225
12,1,1457.0,1035.0,5.0,11082,4359
12,1,944.0,739.0,5.0,12412,3322
12,1,1498.0,936.0,5.0,11364,9730
12,1,1183.0,1015.0,10.0,11136,5277
12,1,1442.0,743.0,5.0,13138,4773
12,1,623.0,1203.0,6.0,12621,22655
12,1,441.0,1827.0,5.0,12110,5712
12,1,395.0,1117.0,6.0,12917,2759
12,1,937.0,1039.0,5.0,11126,131341
12,1,1357.0,1093.0,5.0,11017,116511
12,1,1136.0,857.0,8.0,12288,2880
12,1,1072.0,1089.0,6.0,11939,3415
12,1,871.0,1316.0,6.0,10383,10408
12,1,842.0,990.0,6.0,11270,2819
12,1,1669.0,1282.0,5.0,11759,21127
12,1,993.0,1779.0,5.0,11411,4085
12,1,568.0,863.0,5.0,12152,14044
12,1,665.0,1370.0,6.0,11167,7461
12,1,434.0,1468.0,7.0,11358,25094
12,1,1285.0,1089.0,5.0,12381,20945
12,1,1272.0,1079.0,5.0,13031,86145
12,1,566.0,1205.0,5.0,11369,21064
12,1,1546.0,1320.0,5.0,11064,51486
12,1,1940.0,1247.0,6.0,12799,2191
12,1,1623.0,1111.0,7.0,13034,11927
12,1,974.0,643.0,5.0,12372,3262
12,1,591.0,1587.0,5.0,11922,13843
12,1,627.0,1767.0,8.0,10484,10712
12,1,220.0,1535.0,6.0,11951,2246
12,1,803.0,716.0,6.0,11333,2290
12,1,1580.0,1093.0,5.0,11976,10051
12,1,946.0,1158.0,6.0,11981,9398
12,1,562.0,1566.0,6.0,12788,24201
12,1,366.0,1593.0,7.0,12045,5331
12,1,778.0,274.0,5.0,11335,3327
12,1,754.0,774.0,5.0,11510,3597
12,1,441.0,1136.0,7.0,12994,2637
12,1,230.0,1555.0,7.0,11085,2331
12,1,473.0,1224.0,5.0,10952,50904
12,1,1045.0,547.0,6.0,10931,2332
12,1,1295.0,1090.0,5.0,13113,18992
12,1,220.0,2032.0,7.0,12835,2576
12,1,1437.0,628.0,5.0,11839,38548
12,1,800.0,584.0,5.0,11729,3329
12,1,361.0,1424.0,6.0,11786,2392
12,1,919.0,1705.0,6.0,10260,3010
12,1,1742.0,1005.0,8.0,11399,14809
12,1,894.0,294.0,5.0,11556,3443
12,1,1603.0,586.0,5.0,11715,4854
12,1,1465.0,612.0,5.0,10598,17503
12,1,925.0,559.0,5.0,12384,3306
12,1,759.0,1029.0,6.0,12435,48106
12,1,884.0,1075.0,5.0,12022,18012
12,1,985.0,694.0,5.0,11841,3218
12,1,699.0,586.0,5.0,10812,23875
12,1,626.0,1208.0,5.0,11954,8453
12,1,500.0,872.0,5.0,11192,8476
12,1,1124.0,613.0,7.0,11255,5754
12,1,1135.0,1092.0,5.0,11221,4815
12,1,1053.0,1116.0,6.0,12175,3764
12,1,514.0,927.0,6.0,11436,14328
12,1,619.0,1207.0,6.0,13118,45358
12,1,1235.0,1098.0,5.0,11549,30117
12,1,57.0,881.0,6.0,11343,4014
12,1,813.0,832.0,6.0,10699,30914
12,1,490.0,921.0,5.0,12250,15639
12,1,1691.0,976.0,6.0,10260,75273
12,1,1085.0,746.0,5.0,11306,4785
12,1,576.0,1556.0,6.0,12302,8511
12,1,601.0,925.0,6.0,11122,4690
12,1,749.0,1512.0,5.0,10924,4569
12,1,462.0,1381.0,6.0,10703,116221
12,1,1428.0,1134.0,5.0,12766,17270
12,1,511.0,1757.0,6.0,10865,6014
12,1,564.0,1197.0,6.0,12082,8002
