geneID,x,y,z,intensity,seeds
Cers6,60,106,1.66666666666667,261.333333333333,3
Cers6,92.8,15,1.4,265.6,5
Cers6,6.66666666666667,22,1,183.666666666667,3
Cers6,156.666666666667,189,2.66666666666667,213.333333333333,3
Cers6,146,14,3,225.666666666667,3
Cers6,169,115.333333333333,2.66666666666667,207.666666666667,3
Cers6,64,94,3,254,3
Cers6,98,174.333333333333,0,211.666666666667,3
Cers6,150.333333333333,147,1,188.333333333333,3
Cers6,155,106.5,2.75,225.25,4
Cers6,186,5,1.5,250.75,4
Cers6,27,109.333333333333,3,189.666666666667,3
Cers6,87.3333333333333,5,1,230.333333333333,3
Cers6,10.6666666666667,82,0,244.333333333333,3
Cers6,155.333333333333,107,0,220.666666666667,3
Cers6,194.25,151.75,0.25,183,4
Cers6,97,149.75,0.25,240.75,4
Cers6,112.25,199,0.5,200.25,4
Cers6,63,120.333333333333,2,219,3
Cers6,168,151.333333333333,0.333333333333333,235.666666666667,3
Cers6,88,176,0,301.333333333333,3
Cers6,80,0,0.666666666666667,216.333333333333,3
Cers6,110.333333333333,0,3,193.333333333333,3
Cers6,179,46,0,193,3
Cers6,188,181,1,265.333333333333,3
Cers6,33.6666666666667,62,0,210,3
Cers6,60,0,2.66666666666667,192.666666666667,3
Cers6,127,31.3333333333333,2,217.666666666667,3
Cers6,32,37,0.333333333333333,248.333333333333,3
Cers6,114,40,0,271.333333333333,3
Cers6,152,82,2,195,3
Cers6,73,0,2,173,3
Cers6,96,20,3,280,3
Cers6,184.666666666667,36,0.333333333333333,238.333333333333,3
Cers6,144,175,0,270,3
Cers6,22,125.333333333333,1,177.666666666667,3
Cers6,110,35,0.5,266.5,6
Cers4,14,121,1.66666666666667,170.666666666667,3
Cers4,199,140,2.2,254.2,5
Cers4,148,9,1.33333333333333,189.333333333333,3
Cers4,160,102.333333333333,2,211.333333333333,3
Cers4,9,147.333333333333,0,208,3
Cers4,18,66.6666666666667,2.33333333333333,198.666666666667,3
Cers4,134.666666666667,98.3333333333333,2.33333333333333,213.666666666667,3
Cers4,112.833333333333,109.666666666667,1.66666666666667,236.5,6
Cers4,199,0,2.66666666666667,178.333333333333,3
Cers4,28.6666666666667,135,2.66666666666667,191.666666666667,3
Cers4,5,184.25,2.5,222,4
Cers4,139.333333333333,162,0.666666666666667,199,3
Cers4,47,131,0,238.666666666667,3
Cers4,165,134,1,286.666666666667,3
Cers4,139.75,52,2.5,249.75,4
Cers4,56.6666666666667,199,0.333333333333333,214,3
Cers4,12,156,1.4,242.6,5
Cers4,138.666666666667,199,0,219,3
Cers4,93.3333333333333,60,1,237.666666666667,3
Cers4,38.5,85.75,1.5,201.75,4
Cers4,71,58.3333333333333,0.666666666666667,225.666666666667,3
Cers4,98,37.25,0.75,185,4
Cers4,42,54,2.66666666666667,276.333333333333,3
Cers4,41,143,2.33333333333333,316,3
Cers4,154.333333333333,141.333333333333,2,191,3
Cers4,161,83,1,264.333333333333,3
Cers4,76.3333333333333,144,0,179,3
Cers4,153.666666666667,199,1.33333333333333,215.666666666667,3
Cers4,4,118.333333333333,1,211.333333333333,3
Cers4,49,103.75,2.25,259.25,4
Cers4,151,148,3,276,3
Cers4,187.5,180.5,0.5,206.5,4
Cers4,107,166.5,1.5,200.75,4
Cers4,15,139,3,199.666666666667,3
Cers4,115,54,2,264.666666666667,3
Cers4,193.333333333333,7,1.33333333333333,180,3
Cers4,182,92,1.5,253,4
Cers4,171.5,25.25,0.75,184.5,4
Cers4,68,136.5,0.5,218.5,6
Cers4,70.6666666666667,170.333333333333,2.66666666666667,222.666666666667,3
Cers4,150,125,0,173.666666666667,3
Cers4,0,164,0,222,3
Cers4,192,82,2,255,3
Cers4,101,72,1,303,3
Cers4,167,184,0.666666666666667,277,3
Cers4,192,69,3,254.333333333333,3
Cers4,21,170.333333333333,0,240.333333333333,3
Cers4,104,83,1,291,5
Cers4,194,151.4,0.6,261.6,5
Cers4,187,0,1,176,3
Cers4,122,31.6666666666667,2.66666666666667,236.666666666667,3
Cers4,170,193,1.5,273.75,4
