geneID,x,y,z,intensity,seeds
Cers6,159.333333333333,171,2.33333333333333,209.333333333333,3
Cers6,118.75,195.75,2.25,205.5,4
Cers6,3,60,2,282.333333333333,3
Cers6,173,43,3,218,1
Cers6,88,176,2.6,298.6,5
Cers6,87.5,189,3,228.5,2
Cers6,91,172,1.25,248.75,4
Cers6,53,77,1,227,1
Cers6,96,144,0,203,1
Cers6,164,119,0.5,185,2
Cers6,159,132.5,0,206,2
Cers6,159,42.5,1,194,2
Cers6,12,156,2.25,277.5,4
Cers6,98,175,3,252.5,2
Cers6,0,76,0.333333333333333,220.333333333333,3
Cers6,91.75,5,2.5,223,4
Cers6,71.3333333333333,59,2,256.666666666667,3
Cers6,119.5,95,2,188,2
Cers6,6,37,1,201,1
Cers6,124,179.5,2,195,2
Cers6,133.5,0,0,183.5,2
Cers6,100,193,1,276,3
Cers6,28,103,1.5,179.5,2
Cers6,47,35,1,183,1
Cers6,139,196,1,216,2
Cers6,115.333333333333,199,2,210.666666666667,3
Cers6,134,97,1,190,1
Cers6,127,74.5,2,191.5,2
Cers6,133,154.5,0,224.5,2
Cers6,174,157,0.5,299.5,4
Cers6,0,115,1.5,185.5,2
Cers6,49.5,104,2,230,2
Cers6,15,135,0,195,1
Cers6,40.75,143,1.5,293,4
Cers6,67.5,137,0,224,2
Cers6,0,129.5,3,203.5,2
Cers6,154,154,1,216,1
Cers6,106.333333333333,9,2.33333333333333,179,3
Cers6,59,157.5,3,210,2
Cers6,150,125.2,1.4,218.8,5
Cers6,86,110,2,262.666666666667,3
Cers6,28,110,0,293.5,2
Cers6,72,129,1,261,3
Cers6,142,0,0,178.5,2
Cers6,63,190,3,130,1
Cers6,49.3333333333333,154.333333333333,1,202,3
Cers6,28,153,2,185,1
Cers6,40,173,0.666666666666667,204.666666666667,3
Cers6,129,56,3,254,3
Cers6,107,157.5,0,216.5,2
Cers6,42,0,1,189,2
Cers6,195,110.5,2,200,2
Cers6,7,7,1.5,203.5,2
Cers6,142,109,1,230.5,2
Cers6,82,18,0.5,205,2
Cers6,91.5,49,0,198,2
Cers6,114,40,2.5,275,6
Cers6,37,119,1.5,207.5,2
Cers6,142,138,2,265,2
Cers6,59,196.5,2,203.5,2
Cers6,74.5,90,1,222,2
Cers6,149,134,0.5,275.166666666667,6
Cers6,43,80.5,1,186,2
Cers6,183,175,3,185,1
Cers6,183,15.5,2,187.5,2
Cers6,111,118.666666666667,2.66666666666667,233,3
Cers6,110,69,1,204,1
Cers6,78.5,190,0,204,2
Cers6,118,149,1,184.5,2
Cers6,188.5,147,0,200,2
Cers6,136,131,0,203,2
Cers6,148.5,186,0,198.5,2
Cers6,0,19,1,180,1
Cers6,162.5,12,1,191,2
Cers6,183,57,3,261,1
Cers6,192,82,0,253,1
Cers6,161,83,2,264.666666666667,3
Cers6,129,132.5,0,215,2
Cers6,199,46,1,214,1
Cers6,52.5,71,2,184,2
Cers6,147,56,1,217,1
Cers6,84,35.5,1.5,212,2
Cers6,196,88.5,2,186,2
Cers6,40,181.5,3,223.5,2
Cers6,10,61,0,241,1
Cers6,190.5,169,3,225.5,2
Cers6,106,60,1.5,187,2
Cers6,199,140,2.5,253.75,4
Cers6,61,18,1,215,1
Cers6,120,121,0,186,1
Cers6,180.5,93,3,177.5,2
Cers6,114,49,3,241,2
Cers6,132.5,70,3,204.5,2
Cers6,199,69.5,3,204.5,2
Cers6,161.333333333333,0,0,176.666666666667,3
Cers6,38,22,2,209,1
Cers6,26.5,65,0,184.5,2
Cers6,199,199,1,199,3
Cers6,175.5,90,1,216.5,2
Cers6,0,4,3,204,2
Cers6,89,198.666666666667,0,222.666666666667,3
Cers6,61,0,2.5,183,2
Cers6,79,197,0,276.333333333333,3
Cers6,158,59,2.33333333333333,237.666666666667,3
Cers6,167,184.25,2.25,238.75,4
Cers6,151,52,0,269.5,2
Cers6,92,138,0,187,1
Cers6,60.5,39,1,218.5,2
Cers6,7.5,72,3,224,2
Cers6,151,0,0,209,1
Cers6,84,101,1,215.5,2
Cers6,43.3333333333333,93,0.666666666666667,233,3
Cers6,142,124,3,218,2
Cers6,150,52.5,2,188.5,2
Cers6,142.333333333333,96,2.33333333333333,185.333333333333,3
Cers6,47,131.5,3,223,2
Cers6,136,172.5,0.25,230.25,4
Cers6,121,132,1.5,211,2
Cers6,183,60,1,204,1
Cers6,96,101.5,1,217,2
Cers6,151,44.6666666666667,1.33333333333333,229,3
Cers6,192,35,1.5,171,2
Cers6,106.5,199,2,202,2
Cers6,194,152,2,229.666666666667,3
Cers6,187.666666666667,120.333333333333,3,205,3
Cers6,181,125,2,205,1
Cers6,138,38,2,182,1
Cers6,116.666666666667,22,2,193.666666666667,3
Cers6,179,46.6666666666667,2,221.333333333333,3
Cers6,199,57.3333333333333,0.333333333333333,188.333333333333,3
Cers6,44,154,0,272,1
Cers6,6,184,3,226,1
Cers6,160,64,2,201,2
Cers6,11,55,3,196,1
Cers6,83,183.5,2,205.5,2
Cers6,14,121,1,180,1
Cers6,126,189,1.5,185.5,2
Cers6,140,53,1,166,1
Cers6,23,125.5,0,214.5,2
