ch,x,y,z,int
2,1797,1157,0,9909
2,924,1770,0,10318
2,1513,526,0,10423
2,1213,958,0,10032
2,479,310,0,9832
2,560,1725,0,9621
2,816,1484,0,9892
2,1920,1885,0,10004
2,848,1983,0,9970
2,1788,1166,0,9885
2,1593,1795,0,9905
2,612,1354,0,9074
2,848,1718,0,9720
2,1978,1768,0,9773
2,1481,275,0,10147
2,1974,1173,0,9292
2,1594,986,0,8756
2,765,1816,0,9860
2,674,1101,0,9452
2,325,1439,0,8932
2,76,1602,0,8914
2,275,1241,0,9120
2,852,1766,0,9018
2,1373,1395,0,8566
2,420,220,0,9054
2,117,1626,0,8612
2,998,1055,0,8052
2,1200,334,0,9214
2,714,1463,0,8809
2,824,1736,0,9301
2,1817,1651,0,8065
2,668,950,0,8854
2,447,1448,0,8495
2,1315,1615,0,8115
2,1380,843,0,8837
2,44,1381,0,8347
2,1726,473,0,8885
2,1558,926,0,8732
2,805,2043,0,8722
2,324,1224,0,9009
2,656,1556,0,9016
2,1745,2025,0,8693
2,2036,1540,0,8064
2,1978,1320,0,8367
2,1497,977,0,7376
2,1235,427,0,8020
2,208,157,0,7984
2,1081,750,0,8358
2,655,2029,0,7278
2,634,961,0,8283
2,1536,321,0,8162
2,2003,99,0,7339
2,152,864,0,8006
2,1720,1151,0,8608
2,1982,1696,0,8132
2,1597,741,0,8382
2,1377,1642,0,8551
2,584,465,0,8318
2,44,1438,0,7649
2,1881,1476,0,7726
2,1363,1980,0,7962
2,204,934,0,7514
2,23,2006,0,6871
2,1194,1027,0,7630
2,1541,449,0,7509
2,932,273,0,7594
2,46,98,0,7235
2,868,1739,0,7476
2,981,1468,0,7238
2,1697,1725,0,7442
2,272,350,0,7233
2,1943,1117,0,6766
2,326,225,0,7347
2,31,219,0,6821
2,567,18,0,6551
2,1770,1896,0,7456
2,1258,1768,0,7352
2,786,880,0,7895
2,133,772,0,7029
2,532,439,0,7368
2,492,104,0,7340
2,1929,1830,0,7384
2,1763,621,0,7115
2,668,128,0,7101
2,1347,1647,0,6827
2,1409,179,0,7758
2,16,130,0,6593
2,1613,727,0,7020
2,1684,646,0,6669
2,1026,150,0,6933
2,1351,31,0,6915
2,1211,398,0,6986
2,1776,1650,0,6795
2,839,1430,0,7220
2,1318,1691,0,6050
2,1830,1967,0,7074
2,1507,145,0,6884
2,626,1434,0,7991
2,1691,806,0,6928
2,130,1265,0,6746
2,1029,1765,0,6450
2,623,499,0,6452
2,747,1191,0,6988
